T,D,PDOP,acc_x,acc_y,acc_z,acc_z_,altitude,amp_pitch,amp_roll,cadence,d_stroke,gpsTimeAccuracyNs,gpstimeUs,gyro_x,gyro_y,gyro_z,heading,latitude,longitude,motif_id,nSat,pic_acc,pic_down,pitch,roll,speed,speed_gps,speed_i,t_acc,t_down,yaw,time
1523.170898,2685.13944,0.889999986,0.530336916,1.67474139,8.94279861,-0.867201746,3.94449067,1.05217406,5.93506212,74.1060384,1.05515794,21,1771148104531698,-3.30751732,0.0248430634,-12.3872761,82.7273865,49.1841087,-0.344095533,1173,31,9.40306473,-2.25793386,0.198650143,-3.62114117,5.71027636,4.41321278,7.83951914,0.496773875,0.131613063,-1.51953416,2026-02-15T09:35:04.531Z
1523.180908,2685.14896,0.889999986,0.199963257,1.15056598,8.82293701,-0.987063825,3.94360447,1.06978463,5.99067476,74.4571603,1.05668338,21,1771148104542773,-15.8838239,-0.89829298,-11.330257,82.6884308,49.1841087,-0.344095335,1173,31,9.39275169,-2.31184936,0.203017621,-3.5252169,5.73702771,4.50331497,7.83732101,0.496128835,0.131935582,-1.63800099,2026-02-15T09:35:04.542Z
1523.190918,2685.15847,0.889999986,-0.563935935,-0.362850785,8.77879715,-1.03120339,3.94271851,1.08739521,6.0462874,74.8082822,1.05820882,21,1771148104553847,-21.6194067,-1.1130073,-10.7157965,82.6494751,49.1841087,-0.344095137,1173,31,9.38243866,-2.36576486,0.213065318,-3.33785626,5.76383211,4.59341621,7.82353028,0.495483796,0.132258102,-1.74812076,2026-02-15T09:35:04.553Z
1523.200806,2685.16799,0.889999986,-1.24146044,-1.50210488,9.3629303,-0.447069973,3.94183254,1.10500578,6.10190004,75.1594041,1.05973426,21,1771148104564921,-23.6116437,-1.05823532,-10.210172,82.6105118,49.1841087,-0.344094939,1173,31,9.37212563,-2.4196806,0.224043364,-3.10915723,5.7906892,4.68351746,7.78203373,0.494838756,0.132580622,-1.85392341,2026-02-15T09:35:04.564Z
1523.210815,2685.1775,0.889999986,-1.23190737,-1.9086355,8.77132797,-1.03867257,3.94094658,1.12261635,6.15751269,75.510526,1.0612597,21,1771148104575996,-22.4202055,-0.793519853,-9.65459748,82.5715561,49.1841087,-0.344094741,1173,31,9.36181259,-2.4735961,0.233294376,-2.87921682,5.817599,4.77361965,7.71748939,0.494193717,0.132903141,-1.95315304,2026-02-15T09:35:04.575Z
1523.220825,2685.18702,0.889999986,-1.97143257,-1.28259838,9.8775444,0.0675435141,3.94006085,1.14022693,6.21312533,75.8616479,1.06278514,21,1771148104587069,-20.3186998,-0.321598004,-9.09205025,82.532608,49.1841087,-0.344094543,1173,31,9.3514986,-2.5275116,0.238866821,-2.66572053,5.84456113,4.86367989,7.65422871,0.493548678,0.133225661,-2.04679754,2026-02-15T09:35:04.587Z
1523.230835,2685.19654,0.889999986,-1.98746848,-0.886513889,10.7123814,0.902380824,3.93917298,1.1578375,6.26873797,76.2127698,1.06431058,21,1771148104597829,-20.2396396,-0.146472871,-8.34039618,82.4960938,49.1841087,-0.344094349,1173,31,9.34118557,-2.58142734,0.24120575,-2.46312624,5.8715756,4.94288731,7.56524683,0.492903638,0.133548181,-2.13387838,2026-02-15T09:35:04.597Z
1523.240845,2685.20609,0.889999986,-1.70809042,-0.86441052,11.1964655,1.38646495,3.93827653,1.17544807,6.32435061,76.5638917,1.06583602,21,1771148104607566,-22.144211,-0.256432646,-7.56917368,82.4676666,49.1841087,-0.344094168,1173,31,9.33087254,-2.63534284,0.243217779,-2.25142297,5.8987397,4.98566628,7.47683668,0.492258599,0.133870701,-2.21335237,2026-02-15T09:35:04.607Z
1523.250854,2685.21568,0.889999986,-1.1438483,-0.494364768,10.8995638,1.08956361,3.93737125,1.19305865,6.37996325,76.9150136,1.06736146,21,1771148104616616,-25.2437711,-0.455530326,-6.73503982,82.4447937,49.1841087,-0.344093996,1173,31,9.3205595,-2.68925834,0.246773148,-2.0147293,5.92608999,5.00326061,7.39961901,0.49161356,0.13419322,-2.28480772,2026-02-15T09:35:04.616Z
1523.260864,2685.2252,0.889999986,-0.91823411,-0.281992674,11.6226597,1.81265914,3.93647385,1.21066922,6.4355759,77.2661355,1.0688869,21,1771148104625589,-29.459066,-0.283036,-5.89437389,82.4221115,49.1841087,-0.344093824,1173,31,9.31024647,-2.74317408,0.250463175,-1.74150145,5.95325893,5.02070522,7.34375123,0.49096852,0.13451574,-2.34789707,2026-02-15T09:35:04.625Z
1523.270874,2685.23471,0.889999986,-1.2449162,0.387659699,12.8688202,3.05881977,3.93557668,1.22827979,6.49118854,77.6172574,1.07041234,21,1771148104634564,-34.7280908,-0.133053342,-5.05385901,82.3994293,49.1841087,-0.344093653,1173,31,9.29993248,-2.79708958,0.252540861,-1.42085308,5.98047855,5.03815031,7.29683569,0.490323481,0.13483826,-2.40258073,2026-02-15T09:35:04.634Z
1523.280884,2685.24423,0.889999986,-0.828122377,0.744215727,11.9516125,2.14161229,3.93467903,1.24589037,6.54680118,77.9683793,1.07193778,21,1771148104643537,-41.594869,-0.364314817,-3.97398877,82.3767471,49.1841087,-0.344093482,1173,31,9.28961945,-2.85100508,0.255026405,-1.03957714,6.00774839,5.0555954,7.23891171,0.489678441,0.135160779,-2.44767067,2026-02-15T09:35:04.643Z
1523.290894,2685.25374,0.889999986,-0.859857738,-0.0837535709,12.7095652,2.89956498,3.93378186,1.26350094,6.60241382,78.3195012,1.07346322,21,1771148104652511,-48.7029443,-0.0825520276,-2.91782852,82.3540649,49.1841087,-0.344093311,1173,31,9.27930641,-2.90492082,0.25725718,-0.588494008,6.03506803,5.07304001,7.19682874,0.489033402,0.135483299,-2.48209101,2026-02-15T09:35:04.652Z
1523.300903,2685.26326,0.889999986,0.36286211,-0.766407192,13.1966009,3.38660002,3.93288445,1.28111152,6.65802647,78.6706231,1.07498866,21,1771148104661484,-52.0514446,-0.224430345,-2.17714699,82.3313828,49.1841087,-0.34409314,1173,31,9.26899338,-2.95883632,0.258791295,-0.0851974192,6.06243702,5.09048462,7.15429779,0.488388363,0.135805819,-2.50753745,2026-02-15T09:35:04.661Z
1523.310913,2685.27277,0.889999986,1.71518254,-1.32300651,12.8876743,3.07767391,3.93198705,1.29872209,6.71363911,79.021745,1.07651409,21,1771148104670459,-51.3331054,0.679673976,-1.60014485,82.3087006,49.1841087,-0.344092969,1173,31,9.25868034,-3.01275182,0.256512882,0.431217384,6.08985491,5.10792971,7.15643995,0.487743323,0.136128338,-2.5264027,2026-02-15T09:35:04.670Z
1523.320923,2685.28229,0.889999986,3.11730385,-1.35427284,12.4315042,2.62150407,3.93108964,1.31633266,6.76925175,79.3728669,1.07803953,21,1771148104679432,-39.8625511,3.39192353,-0.547423608,82.2860107,49.1841087,-0.344092797,1173,31,9.24836636,-3.06666756,0.236161569,0.886694891,6.11732123,5.12537479,7.2074706,0.487098284,0.136450858,-2.53712496,2026-02-15T09:35:04.679Z
