T,D,PDOP,acc_x,acc_y,acc_z,acc_z_,altitude,amp_pitch,amp_roll,cadence,d_stroke,gpsTimeAccuracyNs,gpstimeUs,gyro_x,gyro_y,gyro_z,heading,latitude,longitude,motif_id,nSat,pic_acc,pic_down,pitch,roll,speed,speed_gps,speed_i,t_acc,t_down,yaw,time
944.303711,1773.35618,0.959999979,3.49755478,0.885186195,9.32533073,-0.484669238,6.11312437,1.13236763,8.71720038,75.0825273,0.736191379,21,1771147871912914,33.4193549,-6.27300333,-3.1548774,61.7653732,49.184082,-0.344083648,823,30,5.87052822,-1.80312347,-0.021423711,-2.28032012,4.1506915,0.274081528,5.18583129,0.605532342,0.0996451054,1.5671497,2026-02-15T09:31:11.912Z
944.313721,1773.35994,0.959999979,2.81859684,1.16394925,11.1204844,1.31048405,6.11318684,1.15527771,8.83101334,75.326582,0.739082133,21,1771147871919133,29.3480237,-7.85473369,-3.53772689,62.3871422,49.184082,-0.344083624,823,30,5.88939333,-1.84559488,0.0491537724,-2.59383099,4.1734752,0.331842214,5.30127912,0.6059579,0.0993613998,1.53371746,2026-02-15T09:31:11.919Z
944.323730,1773.36371,0.959999979,2.32885599,0.850030661,9.35936546,-0.450635403,6.1132493,1.17818778,8.94482629,75.5706367,0.741972886,21,1771147871925371,26.5096733,-8.68671983,-4.21904878,63.0108109,49.184082,-0.3440836,823,30,5.90825891,-1.88806641,0.131784389,-2.8728332,4.19639785,0.389779836,5.3913826,0.606383459,0.0990776941,1.4949681,2026-02-15T09:31:11.925Z
944.333679,1773.36749,0.959999979,2.96715426,1.95232356,9.03419876,-0.775802076,6.11331129,1.20109786,9.05863925,75.8146914,0.74486364,21,1771147871931609,22.5265054,-8.91597934,-4.80908822,63.6344643,49.184082,-0.344083576,823,30,5.92712402,-1.93053782,0.220249467,-3.11925773,4.21938875,0.447716117,5.46370428,0.606809017,0.0987939885,1.44959434,2026-02-15T09:31:11.931Z
944.343689,1773.37125,0.959999979,3.21757388,2.87599111,8.80556393,-1.00443625,6.11337376,1.22400793,9.17245221,76.0587461,0.747754393,21,1771147871937827,16.3041657,-8.69926207,-5.10826257,64.2562332,49.184082,-0.344083552,823,30,5.94598961,-1.97300935,0.308240789,-3.31325186,4.24237793,0.505476773,5.55797851,0.607234576,0.0985102829,1.40005743,2026-02-15T09:31:11.937Z
944.353699,1773.37501,0.959999979,3.336586,2.3007679,9.67341995,-0.136580825,6.11343575,1.24691801,9.28626516,76.3028008,0.750645147,21,1771147871944046,7.5247382,-7.93768144,-5.11629872,64.8779984,49.184082,-0.344083528,823,30,5.96485472,-2.01548076,0.39134806,-3.43232289,4.26543454,0.563237548,5.66055159,0.607660134,0.0982265772,1.34898453,2026-02-15T09:31:11.944Z
944.363708,1773.37878,0.959999979,3.31501603,2.03416777,9.80492687,-0.00507358136,6.11349773,1.26982808,9.40007812,76.5468554,0.7535359,21,1771147871950264,-0.628621306,-7.27139624,-5.27797677,65.4997711,49.184082,-0.344083504,823,30,5.9837203,-2.0579524,0.467322168,-3.46680545,4.28855804,0.620998204,5.76661542,0.608085693,0.0979428716,1.29706457,2026-02-15T09:31:11.950Z
944.373718,1773.38254,0.959999979,2.50629544,0.00138655154,10.4707642,0.660763323,6.1135602,1.29273816,9.51389108,76.7909101,0.756426653,21,1771147871956483,-7.97718979,-6.96013559,-5.67497775,66.1215286,49.184082,-0.34408348,823,30,6.00258541,-2.10042381,0.538408887,-3.42378253,4.31174792,0.6787588,5.87107341,0.608511251,0.097659166,1.24235129,2026-02-15T09:31:11.956Z
944.383728,1773.3863,0.959999979,2.13656592,0.204467252,10.9227486,1.11274779,6.11362267,1.31564823,9.62770403,77.0349648,0.759317407,21,1771147871962702,-6.82698158,-7.49074031,-5.94493978,66.7433014,49.184082,-0.344083455,823,30,6.021451,-2.14289522,0.610595366,-3.34983958,4.33500354,0.736519575,5.94563401,0.608936809,0.0973754604,1.18430707,2026-02-15T09:31:11.962Z
944.393738,1773.39008,0.959999979,2.69412255,1.07166004,9.31425762,-0.49574253,6.11368465,1.33855831,9.74151699,77.2790195,0.76220816,21,1771147871968940,-4.2294628,-7.76410109,-6.193998,67.3669662,49.184082,-0.344083431,823,30,6.0403161,-2.18536687,0.686796482,-3.29462394,4.35839578,0.794457078,6.00638478,0.609362368,0.0970917547,1.12367038,2026-02-15T09:31:11.968Z
944.403687,1773.39385,0.959999979,3.00422239,1.49749482,9.19684124,-0.613159239,6.11374664,1.36146838,9.85532995,77.5230742,0.765098914,21,1771147871975178,-2.13643764,-7.35976682,-6.26442596,67.9906235,49.184082,-0.344083407,823,30,6.05918169,-2.22783828,0.76280489,-3.26262282,4.38185241,0.852393448,6.08732857,0.609787926,0.0968080491,1.06105948,2026-02-15T09:31:11.975Z
944.413696,1773.39762,0.959999979,2.84422398,1.89634609,9.62250137,-0.187499374,6.11380911,1.38437846,9.9691429,77.7671289,0.767989667,21,1771147871981397,-0.192967624,-6.49741496,-6.41109717,68.6123886,49.184082,-0.344083383,823,30,6.0780468,-2.27030969,0.832027397,-3.2509777,4.40530184,0.910154104,6.17834321,0.610213485,0.0965243435,0.997744413,2026-02-15T09:31:11.981Z
944.423706,1773.40138,0.959999979,2.6112268,1.99976361,8.91239071,-0.897609711,6.11387157,1.40728853,10.0829559,78.0111836,0.770880421,21,1771147871987616,2.12845137,-5.45558271,-6.69703671,69.2341614,49.184082,-0.344083359,823,30,6.09691238,-2.3127811,0.891739159,-3.26063436,4.42881446,0.96791476,6.26293104,0.610639043,0.0962406379,0.93226908,2026-02-15T09:31:11.987Z
944.433716,1773.40514,0.959999979,2.26943731,2.20739365,9.83081245,0.0208115745,6.11393356,1.4301986,10.1967688,78.2552383,0.773771174,21,1771147871993835,3.80506331,-4.52168206,-7.11973719,69.8559265,49.184082,-0.344083335,823,30,6.11577749,-2.35525274,0.941574059,-3.29027793,4.45238963,1.02567542,6.3385227,0.611064602,0.0959569322,0.863251363,2026-02-15T09:31:11.993Z
944.443726,1773.4089,0.959999979,1.9608078,2.71813154,10.4212418,0.611241162,6.11407995,1.45310868,10.3105818,78.499293,0.776661927,21,1771147872001500,4.11691193,-4.00757793,-7.6709017,70.373848,49.184082,-0.344083293,823,30,6.13464308,-2.39772415,0.984176252,-3.32985068,4.47602662,1.09167171,6.40129982,0.61149016,0.0956732266,0.789367632,2026-02-15T09:31:12.001Z
944.453735,1773.41268,0.959999979,1.54347241,2.77815294,10.5967436,0.786743641,6.11442184,1.47601875,10.4243947,78.7433477,0.779552681,21,1771147872012513,3.36244524,-3.97489824,-8.20900615,70.6545486,49.184082,-0.344083212,823,30,6.15350819,-2.44019556,1.02404954,-3.36720729,4.49979737,1.176808,6.4525861,0.611915719,0.095389521,0.710042941,2026-02-15T09:31:12.012Z
944.463684,1773.41645,0.959999979,1.22710395,1.98417354,10.0883865,0.278385669,6.11487246,1.49892883,10.5382077,78.9874024,0.782443434,21,1771147872025395,2.82728967,-4.28980322,-8.65055654,70.8011322,49.184082,-0.344083109,823,30,6.17237377,-2.48266721,1.06558416,-3.39831528,4.52362835,1.27257943,6.4887802,0.612341277,0.0951058153,0.625314122,2026-02-15T09:31:12.025Z
944.473694,1773.42022,0.959999979,1.1927458,1.20437777,10.2469587,0.436958671,6.11532211,1.5218389,10.6520206,79.2314571,0.785334188,21,1771147872038244,4.08765659,-4.26165072,-9.36155366,70.9468994,49.184082,-0.344083005,823,30,6.19123936,-2.52513862,1.10829985,-3.43285019,4.54744682,1.36808956,6.51328171,0.612766835,0.0948221097,0.535344891,2026-02-15T09:31:12.038Z
944.483704,1773.42398,0.959999979,1.14134908,0.920031011,10.6675005,0.857499719,6.11577177,1.54474898,10.7658336,79.4755118,0.788224941,21,1771147872051091,8.10896054,-3.92876247,-10.268916,71.0926666,49.184082,-0.344082902,823,30,6.21010447,-2.56761003,1.14921358,-3.49375418,4.57132422,1.46359956,6.53654129,0.613192394,0.0945384041,0.437292723,2026-02-15T09:31:12.051Z
944.493713,1773.42774,0.959999979,0.988432825,1.48462141,9.66345978,-0.14654085,6.11622143,1.56765905,10.8796466,79.7195665,0.791115695,21,1771147872063939,13.2973733,-2.94242814,-11.246125,71.2384338,49.184082,-0.344082798,823,30,6.22897005,-2.61008167,1.18353552,-3.60068408,4.59525986,1.55910969,6.55795917,0.613617952,0.0942546985,0.329821971,2026-02-15T09:31:12.063Z
944.503723,1773.43151,0.959999979,0.663012207,1.40360713,10.2342358,0.424235731,6.11667156,1.59056913,10.9934595,79.9636212,0.794006448,21,1771147872076786,19.6381846,-0.634586486,-12.2365943,71.3842087,49.184082,-0.344082695,823,30,6.24783516,-2.65255308,1.20139189,-3.76523211,4.619253,1.65461969,6.57390019,0.614043511,0.0939709928,0.212518098,2026-02-15T09:31:12.076Z
944.513733,1773.43528,0.959999979,0.541163623,1.46847701,9.45963955,-0.350361109,6.11712265,1.6134792,11.1072725,80.2076759,0.796897202,21,1771147872089674,22.0916235,0.246407541,-12.7317625,71.5304184,49.184082,-0.344082591,823,30,6.26670074,-2.69502449,1.20332662,-3.97368946,4.64337661,1.75042224,6.57821796,0.614469069,0.0936872872,0.08779571,2026-02-15T09:31:12.089Z
944.523682,1773.43905,0.959999979,0.60448575,1.6063565,9.00994492,-0.800055742,6.11757326,1.63638928,11.2210854,80.4517306,0.799787955,21,1771147872102560,22.9640405,0.760419143,-13.3379736,71.6766281,49.184082,-0.344082488,823,30,6.28556585,-2.73749614,1.19826629,-4.20012246,4.66755601,1.84622276,6.57835868,0.614894628,0.0934035816,-0.043221043,2026-02-15T09:31:12.102Z
944.533691,1773.44282,0.959999979,0.788606286,2.06072354,9.55172062,-0.258280218,6.1180234,1.65929935,11.3348984,80.6957853,0.802678708,21,1771147872115408,22.4236774,0.737518539,-13.7438348,71.822403,49.184082,-0.344082384,823,30,6.30443144,-2.77996755,1.1907838,-4.42684224,4.69171742,1.94173276,6.58100289,0.615320186,0.0931198759,-0.178496004,2026-02-15T09:31:12.115Z
944.543701,1773.44658,0.959999979,1.09860587,1.45136189,8.54784679,-1.2621541,6.11847305,1.68220943,11.4487113,80.93984,0.805569462,21,1771147872128255,19.8251715,0.472587644,-14.0618499,71.9681625,49.184082,-0.344082281,823,30,6.32329655,-2.82243896,1.18473788,-4.63789304,4.71593336,2.03724289,6.59047958,0.615745745,0.0928361703,-0.31738724,2026-02-15T09:31:12.128Z
944.553711,1773.45034,0.959999979,1.43445921,0.927847087,7.7256608,-2.08433962,6.11892271,1.7051195,11.5625243,81.1838947,0.808460215,21,1771147872141103,16.9372943,0.345587415,-14.1305008,72.1139374,49.184082,-0.344082177,823,30,6.34216213,-2.8649106,1.18065075,-4.82153162,4.7402031,2.13275313,6.61125537,0.616171303,0.0925524647,-0.458211337,2026-02-15T09:31:12.141Z
944.563721,1773.45411,0.959999979,1.89228821,-0.238788605,7.96725941,-1.84274113,6.11937237,1.72802958,11.6763373,81.4279494,0.811350969,21,1771147872153951,15.5758074,0.374487458,-14.2635584,72.2597046,49.184082,-0.344082074,823,30,6.36102724,-2.90738201,1.17705375,-4.98393189,4.76452595,2.22826314,6.64415325,0.616596861,0.0922687591,-0.600043774,2026-02-15T09:31:12.153Z
944.573730,1773.45788,0.959999979,2.28306007,-0.714829862,7.69192362,-2.11807656,6.11982298,1.75093965,11.7901502,81.6720041,0.814241722,21,1771147872166838,17.2173272,0.719681691,-14.4020983,72.4059143,49.184082,-0.34408197,823,30,6.37989283,-2.94985342,1.17158655,-5.14774562,4.78897591,2.32406592,6.69343121,0.61702242,0.0919850534,-0.743232899,2026-02-15T09:31:12.166Z
944.583679,1773.46166,0.959999979,2.64542508,-0.85882473,7.60445881,-2.20554137,6.12027407,1.77384973,11.9039632,81.9160588,0.817132476,21,1771147872179725,20.9714189,0.991475592,-14.595202,72.5521317,49.184082,-0.344081867,823,30,6.39875793,-2.99232483,1.16298608,-5.33967893,4.81347724,2.41986609,6.75693668,0.617447978,0.0917013478,-0.888962626,2026-02-15T09:31:12.179Z
944.593689,1773.46542,0.959999979,2.78640628,-0.739691317,8.19805622,-1.61194468,6.12072182,1.7967598,12.0177761,82.1601135,0.820023229,21,1771147872192572,24.9714368,1.08650652,-14.6399505,72.6975708,49.184082,-0.344081763,823,30,6.41762352,-3.03479648,1.15260678,-5.56914965,4.83795528,2.51538134,6.83265898,0.617873537,0.0914176422,-1.03499556,2026-02-15T09:31:12.192Z
944.603699,1773.46918,0.959999979,2.72717595,0.407876164,8.28883648,-1.52116394,6.12031746,1.81966988,12.1315891,82.4041682,0.822913982,21,1771147872205188,28.2712641,0.625418975,-14.4599012,72.6739655,49.184082,-0.344081634,823,30,6.43648863,-3.07726789,1.14405325,-5.83508732,4.86248357,2.6135931,6.91294679,0.618299095,0.0911339366,-1.18035374,2026-02-15T09:31:12.205Z
944.613708,1773.47294,0.959999979,2.81035733,1.44290996,8.11877918,-1.69122112,6.11894989,1.84257995,12.245402,82.6482229,0.825804736,21,1771147872217543,26.7190008,0.38368018,-14.127795,72.4593277,49.184082,-0.344081476,823,30,6.45535421,-3.11973929,1.13901162,-6.10977718,4.88706141,2.71485186,6.99054243,0.618724654,0.0908502309,-1.32315422,2026-02-15T09:31:12.217Z
944.623718,1773.47671,0.959999979,3.09745145,1.48039997,7.92923164,-1.88076854,6.11747026,1.86549003,12.359215,82.8922776,0.828695489,21,1771147872229869,21.8190496,0.599045761,-13.7118702,72.2226944,49.184082,-0.344081314,823,30,6.47421932,-3.16221094,1.13410174,-6.35220676,4.9116882,2.8164618,7.07060231,0.619150212,0.0905665253,-1.46221471,2026-02-15T09:31:12.229Z
