T,D,PDOP,acc_x,acc_y,acc_z,acc_z_,altitude,amp_pitch,amp_roll,cadence,d_stroke,gpsTimeAccuracyNs,gpstimeUs,gyro_x,gyro_y,gyro_z,heading,latitude,longitude,motif_id,nSat,pic_acc,pic_down,pitch,roll,speed,speed_gps,speed_i,t_acc,t_down,yaw,time
923.590942,1667.25501,0.860000014,-0.378492236,-0.121127605,9.44312477,-0.366875321,2.37745094,1.34410874,8.95266319,48.8222865,1.10310454,21,1771147753813479,-1.57598068,0.0537660019,3.3745166,97.6365814,49.1841316,-0.344089569,495,30.8638306,2.12434816,-9.84937763,0.025475327,2.4908526,4.13002925,0.391495913,1.41756587,0.283172402,2.3059873,1.60165283,2026-02-15T09:29:13.813Z
923.600952,1667.26161,0.860000014,-0.260548383,-0.612321615,9.80426311,-0.00573756965,2.37907958,1.34461918,8.95372951,48.8437954,1.10407756,21,1771147753822527,-1.75908014,0.00414636603,3.38018659,102.369957,49.1841316,-0.34408955,495,30.7733555,2.12411618,-9.8483429,0.0251858048,2.50751074,4.15282268,0.431558132,1.43104739,0.281898055,2.28860984,1.63539337,2026-02-15T09:29:13.822Z
923.610962,1667.26822,0.860000014,-0.202729344,-0.841364682,9.92983723,0.119836539,2.38070917,1.34512962,8.95479583,48.8653043,1.10505057,21,1771147753831581,-0.845626313,0.0939779399,3.50385468,107.106682,49.1841316,-0.344089531,495,30.6828175,2.1238842,-9.84730721,0.0246961001,2.52052602,4.1756606,0.471648723,1.44886591,0.280623707,2.27123237,1.66977939,2026-02-15T09:29:13.831Z
923.620972,1667.2748,0.860000014,-0.173025519,-0.669603467,9.56528854,-0.244711861,2.38233328,1.34564006,8.95586215,48.8868132,1.10602359,21,1771147753840604,1.08072129,0.186723279,3.56062436,111.827339,49.1841316,-0.344089512,495,30.5925865,2.12365222,-9.84627247,0.0232935188,2.51934246,4.19844914,0.511603236,1.46881611,0.27934936,2.25385491,1.7050676,2026-02-15T09:29:13.840Z
923.630981,1667.28138,0.860000014,-0.217062548,-0.208649918,9.54504204,-0.264958769,2.38395762,1.3461505,8.95692847,48.9083221,1.10699661,21,1771147753849626,1.38645733,0.164292322,3.56881224,116.547997,49.1841316,-0.344089494,495,30.5023537,2.12342024,-9.84523678,0.0215402634,2.50701713,4.22126556,0.551557839,1.48986297,0.278075013,2.23647745,1.74068004,2026-02-15T09:29:13.849Z
923.640991,1667.28797,0.860000014,-0.146533802,-0.199766144,9.74956799,-0.0604322478,2.38558173,1.34666095,8.95799478,48.929831,1.10796962,21,1771147753858649,0.511803887,0.093097268,3.53159926,121.268654,49.1841316,-0.344089475,495,30.4121227,2.12318802,-9.84420204,0.0202549178,2.49753935,4.24410975,0.591512382,1.50934372,0.276800665,2.21909998,1.77614728,2026-02-15T09:29:13.858Z
923.650940,1667.29455,0.860000014,-0.134449661,-0.360096276,9.7577877,-0.0522130951,2.38720584,1.34717139,8.9590611,48.9513399,1.10894264,21,1771147753867673,-0.831724557,0.0215705164,3.46952991,125.989342,49.1841316,-0.344089456,495,30.321888,2.12295604,-9.8431673,0.0196783938,2.49914238,4.26698171,0.631467164,1.53153022,0.275526318,2.20172252,1.81133245,2026-02-15T09:29:13.867Z
923.660950,1667.30115,0.860000014,-0.145632401,-0.254769951,9.64418507,-0.165815696,2.38883424,1.34768183,8.96012742,48.9728488,1.10991565,21,1771147753876720,-1.73168468,0.0408535622,3.40768861,130.722717,49.1841316,-0.344089437,495,30.2314148,2.12272406,-9.84213161,0.0193666717,2.51194254,4.28994287,0.671529412,1.55402297,0.274251971,2.18434505,1.84568529,2026-02-15T09:29:13.876Z
923.670959,1667.30776,0.860000014,-0.188340589,-0.279115409,9.75331402,-0.0566866286,2.39046407,1.34819227,8.96119374,48.9943577,1.11088867,21,1771147753885774,-2.69458588,0.0640735771,3.3006909,135.459427,49.1841316,-0.344089418,495,30.1408768,2.12249207,-9.84109688,0.018842661,2.53404761,4.31294796,0.711619914,1.57611931,0.272977623,2.16696759,1.87919499,2026-02-15T09:29:13.885Z
923.680969,1667.31435,0.860000014,-0.119663887,0.366024971,9.93354321,0.123542979,2.39208817,1.34870271,8.96226006,49.0158666,1.11186168,21,1771147753894797,-3.74396205,0.107789932,3.30444273,140.180084,49.1841316,-0.344089399,495,30.0506439,2.12226009,-9.84006214,0.0179840789,2.56621141,4.33590255,0.751574457,1.59668662,0.271703276,2.14959012,1.91218845,2026-02-15T09:29:13.894Z
