T,D,PDOP,acc_x,acc_y,acc_z,acc_z_,altitude,amp_pitch,amp_roll,cadence,d_stroke,gpsTimeAccuracyNs,gpstimeUs,gyro_x,gyro_y,gyro_z,heading,latitude,longitude,motif_id,nSat,pic_acc,pic_down,pitch,roll,speed,speed_gps,speed_i,t_acc,t_down,yaw,time
1157.037842,1794.78644,0.959999979,0.0148340352,-1.01008058,10.2716656,0.461665034,2.1352644,0.254347096,4.40513486,75.2407276,0.569907499,21,1771148103614227,21.2580123,0.947160859,1.2671332,104.427193,49.1841812,-0.344087765,831,30,2.03200531,-0.54975611,-0.155589545,0.223579283,3.40939676,0.792523861,2.6350957,0.429207865,0.144653558,1.65169436,2026-02-15T09:35:03.614Z
1157.047852,1794.78823,0.959999979,0.0416645482,-0.946645319,10.2330189,0.423018903,2.13478994,0.254593483,4.36601963,75.700962,0.572168845,21,1771148103623720,23.1396071,0.676805845,1.27709329,103.075691,49.1841812,-0.344087737,831,30,2.10368729,-0.555277705,-0.163701812,0.00181022949,3.43157709,0.781244755,2.64336397,0.429734231,0.143776282,1.66440307,2026-02-15T09:35:03.623Z
1157.057861,1794.79002,0.959999979,0.11574474,-1.02030134,10.2031736,0.39317295,2.13431525,0.254839869,4.32690441,76.1611964,0.574430191,21,1771148103633215,24.8996023,0.33323471,1.35672072,101.72419,49.1841812,-0.344087709,831,30,2.17536902,-0.560799241,-0.168745412,-0.238160058,3.45383609,0.769965589,2.65273688,0.430260596,0.142899007,1.67755968,2026-02-15T09:35:03.633Z
1157.067871,1794.79183,0.959999979,0.287365377,-1.02900076,10.1654396,0.355439603,2.13383603,0.255086256,4.28778918,76.6214308,0.576691537,21,1771148103642799,26.7853657,-0.080062911,1.24093039,100.359879,49.1841812,-0.34408768,831,30,2.24705076,-0.566320837,-0.170008025,-0.496341952,3.47638477,0.758579671,2.66490279,0.430786961,0.142021731,1.6905347,2026-02-15T09:35:03.642Z
1157.077881,1794.79362,0.959999979,0.337489873,-0.848339021,9.95986176,0.149861157,2.13335991,0.255332642,4.24867396,77.0816652,0.578952883,21,1771148103652319,28.7445604,0.0321532034,1.18046117,99.0046921,49.1841812,-0.344087652,831,30,2.31873274,-0.571842372,-0.169769267,-0.77373022,3.49886076,0.747269809,2.68334474,0.431313327,0.141144455,1.70262955,2026-02-15T09:35:03.652Z
1157.087891,1794.79541,0.959999979,0.294746786,-0.896499217,9.97510147,0.165100679,2.13288498,0.255579029,4.20955873,77.5418996,0.581214229,21,1771148103661813,30.3775959,0.108070817,1.25562477,97.6531754,49.1841812,-0.344087624,831,30,2.39041448,-0.577363968,-0.170470069,-1.0690605,3.52135244,0.735990524,2.70362972,0.431839692,0.14026718,1.71479847,2026-02-15T09:35:03.661Z
1157.097900,1794.7972,0.959999979,0.2514925,-0.800881684,10.1253481,0.315347999,2.13241029,0.255825415,4.17044351,78.0021339,0.583475575,21,1771148103671308,31.5304448,0.311985509,1.27254417,96.3016739,49.1841812,-0.344087595,831,30,2.46209621,-0.582885504,-0.172569293,-1.37830427,3.54391959,0.724711478,2.72239951,0.432366058,0.139389904,1.72742706,2026-02-15T09:35:03.671Z
1157.107788,1794.79899,0.959999979,0.203736663,-0.706673503,10.2761021,0.466102034,2.13193583,0.256071802,4.13132828,78.4623683,0.585736921,21,1771148103680802,31.8637258,0.390905149,1.35217791,94.9501801,49.1841812,-0.344087567,831,30,2.53377819,-0.588407099,-0.176123645,-1.69883325,3.56656183,0.713432312,2.73985216,0.432892423,0.138512628,1.74069818,2026-02-15T09:35:03.680Z
1157.117798,1794.80077,0.959999979,0.210995421,-0.361327529,10.4726353,0.662635148,2.13146138,0.256318189,4.09221306,78.9226027,0.587998267,21,1771148103690297,31.0102493,0.0662148399,1.43498065,93.6006927,49.1841812,-0.344087539,831,30,2.60545993,-0.593928635,-0.178408576,-2.01290037,3.58927778,0.702150762,2.75543826,0.433418788,0.137635353,1.75461998,2026-02-15T09:35:03.690Z
1157.127808,1794.80256,0.959999979,0.388454616,0.326156408,10.4215431,0.611542463,2.1310401,0.256564575,4.05309783,79.3828371,0.590259613,21,1771148103699961,26.5999757,-0.404991876,1.54275378,92.6569138,49.1841812,-0.344087512,831,30,2.67714167,-0.599450231,-0.176718629,-2.30069177,3.61206694,0.69037205,2.77135067,0.433945154,0.136758077,1.76949361,2026-02-15T09:35:03.699Z
1157.137817,1794.80435,0.959999979,0.509525061,0.816227019,10.3268423,0.516841471,2.1307869,0.256810962,4.01398261,79.8430715,0.592520959,21,1771148103710161,21.1634428,-0.749706756,1.70765353,92.9969482,49.1841812,-0.344087489,831,30,2.7488234,-0.604971766,-0.170952448,-2.53930219,3.63492842,0.677020371,2.7937161,0.434471519,0.135880801,1.78572899,2026-02-15T09:35:03.710Z
1157.147827,1794.80614,0.959999979,0.56201911,0.832334876,10.1769819,0.366981536,2.13058019,0.257057348,3.97486738,80.3033059,0.594782305,21,1771148103720507,14.4718874,-0.819524458,1.96416135,93.6877213,49.1841812,-0.344087468,831,30,2.82050538,-0.610493362,-0.16311429,-2.71733751,3.65786138,0.663239002,2.82044322,0.434997885,0.135003526,1.80406891,2026-02-15T09:35:03.720Z
1157.157837,1794.80793,0.959999979,0.584221363,0.483339041,10.0938015,0.283800781,2.13037324,0.257303735,3.93575216,80.7635403,0.59704365,21,1771148103730854,7.59402753,-0.678900992,2.25611923,94.3784943,49.1841812,-0.344087446,832,30,2.89218712,-0.616014898,-0.155628788,-2.82759294,3.68086493,0.649457633,2.84902145,0.43552425,0.13412625,1.8251483,2026-02-15T09:35:03.730Z
1157.167847,1794.80972,0.959999979,0.644687891,0.0457040295,10.0754642,0.265464038,2.13016629,0.257550121,3.89663693,81.2237746,0.599304996,21,1771148103741201,1.71583321,-0.467009677,2.54799109,95.0692673,49.1841812,-0.344087424,832,30,2.96386886,-0.621536493,-0.149903791,-2.87412549,3.70393817,0.635676205,2.87834116,0.436050615,0.133248974,1.849144,2026-02-15T09:35:03.741Z
1157.177856,1794.8115,0.959999979,0.8134045,-0.0485830829,10.062499,0.252499104,2.12995934,0.257796508,3.8575217,81.684009,0.601566342,21,1771148103751547,-2.25240392,-0.255117301,2.80572938,95.7600327,49.1841812,-0.344087403,832,30,3.03555083,-0.627058029,-0.146297435,-2.87143111,3.72708027,0.621894777,2.90977441,0.436576981,0.132371699,1.8758874,2026-02-15T09:35:03.751Z
1157.187866,1794.81329,0.959999979,0.77730459,0.127459377,10.0446854,0.234684974,2.1297524,0.258042894,3.81840648,82.1442434,0.603827688,21,1771148103761894,-4.93793696,-0.246965949,3.06155984,96.4508057,49.1841812,-0.344087381,832,30,3.10723257,-0.632579625,-0.143789506,-2.83550141,3.75029027,0.608113289,2.94719348,0.437103346,0.131494423,1.90519647,2026-02-15T09:35:03.761Z
1157.197876,1794.8151,0.959999979,0.437691838,0.441088349,10.1237526,0.313752621,2.1295433,0.258289281,3.77929125,82.6044778,0.606089034,21,1771148103772337,-7.51483119,-0.352292978,3.38696966,97.1481171,49.1841812,-0.344087359,832,30,3.17891431,-0.638101161,-0.14079562,-2.77328579,3.77378778,0.594201446,2.98317228,0.437629711,0.130617148,1.93740925,2026-02-15T09:35:03.772Z
1157.207886,1794.81689,0.959999979,0.251498371,0.712433815,10.0781145,0.26811412,2.12933612,0.258535667,3.74017603,83.0647122,0.60835038,21,1771148103782712,-10.6652424,-0.485308418,3.78201764,97.8407745,49.1841812,-0.344087338,832,30,3.25059628,-0.643622756,-0.136611053,-2.68245881,3.79719519,0.580382407,3.00681229,0.438156077,0.129739872,1.97322113,2026-02-15T09:35:03.782Z
1157.217896,1794.81868,0.959999979,0.325544566,1.29773951,9.6776886,-0.132312089,2.12912917,0.258782054,3.7010608,83.5249466,0.610611726,21,1771148103793058,-14.2588116,-0.627298986,4.07843385,98.5315628,49.1841812,-0.344087316,832,30,3.32227802,-0.649144351,-0.131052756,-2.55794271,3.82060443,0.566600859,3.02375354,0.438682442,0.128862596,2.01248648,2026-02-15T09:35:03.793Z
1157.227905,1794.82047,0.959999979,0.270388156,1.17319894,9.5311842,-0.278816581,2.12890267,0.25902844,3.66194558,83.985181,0.612873072,21,1771148103802446,-21.0296536,-0.290152077,4.49916079,99.5058441,49.1841812,-0.344087293,832,30,3.39395976,-0.654665887,-0.126471627,-2.38163966,3.84407767,0.574017048,3.04342243,0.439208808,0.127985321,2.05533465,2026-02-15T09:35:03.802Z
1157.237793,1794.82226,0.959999979,0.11815834,0.225168839,9.46738529,-0.342615247,2.12865758,0.259274827,3.62283035,84.4454154,0.615134418,21,1771148103810924,-27.0671841,0.0773952167,4.97799147,100.749001,49.1841812,-0.344087269,832,30,3.46564174,-0.660187483,-0.125395563,-2.1384619,3.8676144,0.601535797,3.06133214,0.439735173,0.127108045,2.1032516,2026-02-15T09:35:03.810Z
1157.247803,1794.82405,0.959999979,0.0952563584,-0.628566682,9.27018452,-0.539815962,2.12840891,0.259521213,3.58371513,84.9056497,0.617395764,21,1771148103819216,-26.9275419,0.214210003,5.16463295,102.047295,49.1841812,-0.344087244,832,30,3.53732347,-0.665709019,-0.126851508,-1.86875109,3.89121332,0.6331774,3.07363733,0.440261538,0.126230769,2.15391433,2026-02-15T09:35:03.819Z
1157.257812,1794.82584,0.959999979,0.0293198396,-0.687077761,9.50341225,-0.306588501,2.12816,0.2597676,3.5445999,85.3658841,0.61965711,21,1771148103827508,-24.2050569,0.394585012,5.1146153,103.345596,49.1841812,-0.344087219,832,30,3.60900521,-0.671230614,-0.129891631,-1.61332435,3.91487377,0.664818823,3.08523319,0.440787904,0.125353494,2.20526067,2026-02-15T09:35:03.827Z
1157.267822,1794.82762,0.959999979,0.000370082213,0.0460585281,9.49362469,-0.316375732,2.12791133,0.260013986,3.50548468,85.8261185,0.621918456,21,1771148103835800,-21.2239055,0.332879096,4.98054291,104.643898,49.1841812,-0.344087195,832,30,3.68068695,-0.67675215,-0.133525701,-1.38638664,3.93859484,0.696460366,3.09457687,0.441314269,0.124476218,2.25568787,2026-02-15T09:35:03.835Z
