T,D,PDOP,acc_x,acc_y,acc_z,acc_z_,altitude,amp_pitch,amp_roll,cadence,d_stroke,gpsTimeAccuracyNs,gpstimeUs,gyro_x,gyro_y,gyro_z,heading,latitude,longitude,motif_id,nSat,pic_acc,pic_down,pitch,roll,speed,speed_gps,speed_i,t_acc,t_down,yaw,time
1061.520020,2040.62807,1.04999995,1.32965958,0.751036048,10.0981932,0.288192838,7.56833935,0.875955661,6.62637497,41.7608105,1.11643882,21,1771147976333670,3.04667464,-0.734484483,1.89414914,47.038578,49.1842651,-0.344082642,862,27.3395443,4.51443863,-0.219776511,-0.32610136,0.949521137,4.32230672,0.966335416,4.61598511,1.04050771,0.0204553806,1.77294755,2026-02-15T09:32:56.333Z
1061.530029,2040.63788,1.04999995,1.39044321,0.584576607,10.1480455,0.338045299,7.56845427,0.88227914,6.72010052,42.139214,1.11784825,21,1771147976345148,3.7769883,-0.660893425,1.84422943,47.5916862,49.1842651,-0.344082618,862,27.4543324,4.54858637,-0.242460728,-0.319131627,0.915432595,4.34549289,0.90600282,4.66087222,1.03236804,0.0223158774,1.79162096,2026-02-15T09:32:56.345Z
1061.540039,2040.6477,1.04999995,1.33069539,0.0351402238,10.0990334,0.289032638,7.56856918,0.88860262,6.81382608,42.5176175,1.11925768,21,1771147976356627,4.82756658,-0.587999145,1.77120376,48.1447678,49.1842651,-0.344082594,862,27.5691147,4.58273411,-0.265144944,-0.312893608,0.872446704,4.36871816,0.845672965,4.70772861,1.02422836,0.0241763742,1.80968014,2026-02-15T09:32:56.356Z
1061.549927,2040.65751,1.04999995,1.16936588,-0.320661992,10.0984306,0.288430095,7.56868362,0.894926099,6.90755163,42.896021,1.12066711,21,1771147976368105,7.13902529,-0.502136882,1.56781137,48.6978569,49.1842651,-0.34408257,862,27.683897,4.61688185,-0.287829161,-0.307381495,0.811949777,4.39198349,0.785343111,4.75271105,1.01608869,0.026036871,1.82656317,2026-02-15T09:32:56.368Z
1061.559937,2040.66733,1.04999995,0.992524087,-0.318965316,9.99685192,0.186851099,7.56879854,0.901249579,7.00127719,43.2744245,1.12207654,21,1771147976379584,10.4064171,-0.312699619,1.31948467,49.2509384,49.1842651,-0.344082547,862,27.7986813,4.65102959,-0.310513377,-0.303310382,0.724323937,4.41528953,0.725013375,4.79116975,1.00794902,0.0278973678,1.84098677,2026-02-15T09:32:56.379Z
1061.569946,2040.67714,1.04999995,1.01678085,-0.14200975,9.82588577,0.0158852898,7.56891203,0.907573058,7.09500274,43.652828,1.12348597,21,1771147976391060,14.0585708,0.136436208,1.13970438,49.8043098,49.1842651,-0.344082523,862,27.9133682,4.68517733,-0.333197594,-0.302427753,0.602136008,4.43863618,0.664764166,4.82310985,0.999809342,0.0297578646,1.85327159,2026-02-15T09:32:56.391Z
1061.579956,2040.68696,1.04999995,0.970270157,0.156933442,10.0709467,0.260945976,7.5685606,0.913896537,7.1887283,44.0312315,1.1248954,21,1771147976402027,18.4794495,0.72138739,1.01328198,50.4436188,49.1842651,-0.344082493,862,28,4.71932507,-0.35588181,-0.306709841,0.439626126,4.46202361,0.628522933,4.85583899,0.991669669,0.0316183614,1.86402663,2026-02-15T09:32:56.402Z
1061.589966,2040.69677,1.04999995,0.912681878,0.50512135,10.0495844,0.239584312,7.56677532,0.920220017,7.28245385,44.409635,1.12630483,21,1771147976411424,21.3781234,1.03730387,0.9413434,51.3482628,49.1842651,-0.344082445,862,28,4.75347281,-0.378566027,-0.315493176,0.240546803,4.48545202,0.666408002,4.88680242,0.983529995,0.0334788582,1.87379058,2026-02-15T09:32:56.411Z
1061.599976,2040.70659,1.04999995,0.978046179,0.511632264,9.94948483,0.139484197,7.56499004,0.926543496,7.37617941,44.7880385,1.12771426,21,1771147976420820,23.2368054,0.998104935,0.940557485,52.252903,49.1842651,-0.344082398,862,28,4.78762054,-0.401250273,-0.325660482,0.0176988549,4.50892161,0.704293072,4.91561508,0.975390322,0.035339355,1.8831909,2026-02-15T09:32:56.420Z
1061.609985,2040.7164,1.04999995,1.21994436,0.859250784,9.90340519,0.0934047401,7.56320477,0.932866976,7.46990496,45.166442,1.12912369,21,1771147976430216,24.3168832,0.861361034,0.908844151,53.157547,49.1842651,-0.34408235,862,28,4.82176828,-0.423934489,-0.334948674,-0.219838149,4.53243261,0.742178202,4.94672364,0.967250648,0.0371998518,1.89242887,2026-02-15T09:32:56.430Z
1061.619995,2040.72622,1.04999995,1.45302701,1.19865191,9.75117397,-0.0588266775,7.56141996,0.939190455,7.56363051,45.5448455,1.13053312,21,1771147976439612,24.1584476,0.824977756,0.957745492,54.0621872,49.1842651,-0.344082302,862,28,4.85591602,-0.446618706,-0.343371965,-0.461977559,4.55598526,0.780063331,4.98645992,0.959110975,0.0390603487,1.90175296,2026-02-15T09:32:56.439Z
