T,D,PDOP,acc_x,acc_y,acc_z,acc_z_,altitude,amp_pitch,amp_roll,cadence,d_stroke,gpsTimeAccuracyNs,gpstimeUs,gyro_x,gyro_y,gyro_z,heading,latitude,longitude,motif_id,nSat,pic_acc,pic_down,pitch,roll,speed,speed_gps,speed_i,t_acc,t_down,yaw,time
1188.051758,2591.52929,0.910000026,1.07134306,2.34040856,9.09904861,-0.710951567,3.70298529,0.759851022,4.39033722,55.9804046,0.928802882,21,1771147976324923,-10.2694482,0.161244905,0.252580976,49.124012,49.1841087,-0.344091848,1113,29,6.21852493,-0.980797589,-0.257585116,-2.80752707,4.42981703,0.645654321,3.92537004,0.702194832,0.100262731,2.19178789,2026-02-15T09:32:56.324Z
1188.061768,2591.53818,0.910000026,0.997825682,2.17537475,9.5227623,-0.287237912,3.70334601,0.772186636,4.44478001,56.314176,0.932026934,21,1771147976333940,-15.4500708,0.194181117,0.173963386,48.9728088,49.1841087,-0.344091832,1113,29,6.24064159,-1.00998628,-0.259360343,-2.67908007,4.4540847,0.636890888,3.96894309,0.698818294,0.101041932,2.19391891,2026-02-15T09:32:56.333Z
1188.071777,2591.54706,0.910000026,1.16312587,2.56393647,9.22608852,-0.583911538,3.7037065,0.78452225,4.4992228,56.6479474,0.935250985,21,1771147976342953,-20.971045,-0.158531451,0.107572685,48.8216515,49.1841087,-0.344091816,1113,29,6.26275826,-1.03917491,-0.259540132,-2.49717901,4.47839469,0.628130078,4.00967083,0.695441757,0.101821133,2.19532554,2026-02-15T09:32:56.342Z
1188.081787,2591.55595,0.910000026,1.5386194,1.6596328,9.44803143,-0.361969262,3.70406723,0.796857864,4.5536656,56.9817188,0.938475036,21,1771147976351966,-26.0269254,-0.517264201,0.040827039,48.6704903,49.1841087,-0.3440918,1113,29,6.28487539,-1.06836367,-0.256166197,-2.26244307,4.50275476,0.619369149,4.05617222,0.692065219,0.102600334,2.19606714,2026-02-15T09:32:56.351Z
1188.091797,2591.56483,0.910000026,2.17215896,1.63949704,9.239604,-0.570396304,3.70442748,0.809193478,4.60810839,57.3154902,0.941699088,21,1771147976360979,-28.2289954,-1.09164409,-0.140363427,48.5193291,49.1841087,-0.344091784,1113,29,6.30699205,-1.0975523,-0.248130097,-1.9914304,4.52716539,0.610608399,4.11595667,0.688688681,0.103379535,2.19557013,2026-02-15T09:32:56.360Z
1188.101807,2591.57372,0.910000026,2.85148597,0.554137588,9.23579693,-0.574203193,3.70478821,0.821529092,4.66255118,57.6492616,0.944923139,21,1771147976369992,-27.9375573,-1.37488457,-0.518401461,48.3681717,49.1841087,-0.344091768,1113,29,6.32910872,-1.12674105,-0.235808106,-1.71087305,4.5516271,0.60184747,4.19818617,0.685312143,0.104158736,2.19227767,2026-02-15T09:32:56.369Z
1188.111816,2591.5826,0.910000026,3.43267369,0.682644248,9.20229912,-0.607701063,3.7051487,0.833864707,4.71699398,57.9830329,0.94814719,21,1771147976379006,-24.6623146,-1.23982026,-0.935208916,48.2170143,49.1841087,-0.344091751,1113,29,6.35122585,-1.15592968,-0.222747999,-1.44814625,4.57614033,0.5930866,4.30427045,0.681935606,0.104937937,2.18501469,2026-02-15T09:32:56.379Z
1188.121826,2591.59149,0.910000026,3.96844769,0.110384583,8.90040302,-0.909597874,3.70550919,0.846200321,4.77143677,58.3168043,0.951371242,21,1771147976388019,-19.7257478,-0.970276751,-1.52268158,48.0658531,49.1841087,-0.344091735,1113,29,6.37334251,-1.18511832,-0.211709606,-1.22644647,4.60070558,0.58432579,4.43044214,0.678559068,0.105717138,2.17273437,2026-02-15T09:32:56.388Z
1188.131836,2591.60037,0.910000026,4.27023029,0.61232996,9.01491261,-0.795087337,3.70586991,0.858535935,4.82587957,58.6505757,0.954595293,21,1771147976397032,-13.4636334,-0.630864491,-2.2062323,47.9146957,49.1841087,-0.344091719,1113,29,6.39545918,-1.21430707,-0.203713358,-1.06069185,4.62532333,0.575564921,4.57486778,0.67518253,0.106496339,2.15410467,2026-02-15T09:32:56.397Z
1188.141846,2591.60926,0.910000026,4.05499935,1.08990431,9.47483063,-0.335169464,3.70688128,0.870871549,4.88032236,58.9843471,0.957819345,21,1771147976407004,-8.30744367,-0.44784489,-2.90335782,48.188446,49.1841087,-0.344091699,1113,29,6.41757584,-1.2434957,-0.198325951,-0.951967554,4.64999408,0.584493339,4.72895012,0.671805993,0.10727554,2.12857827,2026-02-15T09:32:56.407Z
1188.151733,2591.61814,0.910000026,3.8067739,1.67878294,9.68333626,-0.126664132,3.70823526,0.883207163,4.93476515,59.3181185,0.961043396,21,1771147976417481,-5.4343645,-0.765974682,-3.49702186,48.6858063,49.1841087,-0.344091678,1113,29,6.43969297,-1.27268445,-0.192188197,-0.882499588,4.67471859,0.602730513,4.87570869,0.668429455,0.108054741,2.0962154,2026-02-15T09:32:56.417Z
