T,D,PDOP,acc_x,acc_y,acc_z,acc_z_,altitude,amp_pitch,amp_roll,cadence,d_stroke,gpsTimeAccuracyNs,gpstimeUs,gyro_x,gyro_y,gyro_z,heading,latitude,longitude,motif_id,nSat,pic_acc,pic_down,pitch,roll,speed,speed_gps,speed_i,t_acc,t_down,yaw,time
1128.947021,2058.95737,0.949999988,-0.0814894885,0.620208204,9.38004208,-0.429958135,2.36328745,1.01738554,6.81327661,43.4384304,1.05868893,21,1771147753911812,-8.71378122,-0.324584022,2.11192924,105.499123,49.1842766,-0.344075192,840,29.8812294,7.41745043,-1.29626441,-0.266279083,-2.66438176,4.21896156,0.416771919,2.79840527,1.29979951,0.179294166,2.84208534,2026-02-15T09:29:13.911Z
1128.957031,2058.96277,0.949999988,-0.0333626568,0.812232912,9.54420757,-0.265792996,2.3629458,1.02235953,6.84184512,43.5991305,1.06197172,21,1771147753917507,-7.44004247,-0.27527046,2.0142211,106.46283,49.1842766,-0.344075187,840,29.824276,7.44289398,-1.30591059,-0.263282974,-2.58369765,4.2447013,0.428458452,2.80966621,1.28921569,0.178863429,2.86269549,2026-02-15T09:29:13.917Z
1128.967041,2058.96816,0.949999988,0.148244277,1.22338724,9.66987038,-0.140129969,2.36260414,1.02733352,6.87041364,43.7598306,1.06525451,21,1771147753923201,-6.48394493,-0.365030381,1.98547239,107.426544,49.1842766,-0.344075182,840,29.7673244,7.46833754,-1.31555688,-0.260084153,-2.51415024,4.27048374,0.440144986,2.82280266,1.27863187,0.178432692,2.88267431,2026-02-15T09:29:13.923Z
1128.976929,2058.97356,0.949999988,0.254430711,1.59790301,9.60380173,-0.20619826,2.36226249,1.03230751,6.89898215,43.9205307,1.06853729,21,1771147753928896,-6.6696277,-0.596567083,1.95711285,108.390251,49.1842766,-0.344075177,840,29.7103729,7.49378061,-1.32520306,-0.255223127,-2.44764585,4.29630893,0.451831579,2.84285898,1.26804805,0.178001955,2.90260851,2026-02-15T09:29:13.928Z
1128.986938,2058.97895,0.949999988,0.339040607,1.93039739,9.48264599,-0.327354044,2.3619206,1.0372815,6.92755066,44.0812309,1.07182008,21,1771147753934592,-7.74232857,-0.733761524,1.95190784,109.353958,49.1842766,-0.344075172,840,29.6534195,7.51922417,-1.33484936,-0.248578644,-2.37566154,4.32217683,0.463518143,2.86652689,1.25746422,0.177571218,2.92213457,2026-02-15T09:29:13.934Z
1128.996948,2058.98435,0.949999988,0.423247486,2.19212413,9.60190487,-0.208095968,2.3615787,1.0422555,6.95611917,44.241931,1.07510287,21,1771147753940287,-9.30415309,-0.708386477,1.97019154,110.317688,49.1842766,-0.344075167,840,29.596468,7.54466772,-1.34449553,-0.241374817,-2.29051984,4.34808815,0.475205004,2.89325978,1.2468804,0.177140482,2.94172584,2026-02-15T09:29:13.940Z
1129.006958,2058.98978,0.949999988,0.261180371,2.44502234,9.78911591,-0.0208842941,2.36123466,1.04722949,6.98468769,44.4026311,1.07838566,21,1771147753946024,-11.2151469,-0.636209611,2.03461856,111.288216,49.1842766,-0.344075162,840,29.5391121,7.57011127,-1.35414171,-0.234658043,-2.1880327,4.37422539,0.48697418,2.92302166,1.23629658,0.176709745,2.96173005,2026-02-15T09:29:13.946Z
1129.016968,2058.9952,0.949999988,0.532740295,1.96567547,9.84431267,0.0343126692,2.36089134,1.05220348,7.0132562,44.5633312,1.08166845,21,1771147753951747,-13.7030628,-0.655865526,2.16857031,112.256844,49.1842766,-0.344075157,840,29.4818707,7.59555435,-1.36378801,-0.228204069,-2.06357532,4.40035517,0.498720467,2.9469033,1.22571276,0.176279008,2.98272484,2026-02-15T09:29:13.951Z
1129.026978,2059.0006,0.949999988,0.621125996,1.07653224,10.1139154,0.303914845,2.36054969,1.05717747,7.04182471,44.7240313,1.08495124,21,1771147753957443,-15.0931636,-0.492852089,2.27996062,113.220551,49.1842766,-0.344075152,840,29.4249172,7.62099791,-1.37343419,-0.222465289,-1.91974144,4.42639515,0.510407031,2.98058056,1.21512894,0.175848271,3.00494525,2026-02-15T09:29:13.957Z
1129.036987,2059.00599,0.949999988,0.859652996,3.05279136,9.72728729,-0.0827133954,2.3602078,1.06215146,7.07039322,44.8847314,1.08823403,21,1771147753963138,-15.7936844,-0.440904508,1.95355428,114.184258,49.1842766,-0.344075146,840,29.3679657,7.64644146,-1.38308048,-0.217801136,-1.76545685,4.45247819,0.522093534,3.01736041,1.20454512,0.175417534,3.0260917,2026-02-15T09:29:13.963Z
1129.046997,2059.01139,0.949999988,0.674236894,3.14921117,9.9075613,0.097560972,2.35986614,1.06712545,7.09896174,45.0454316,1.09151681,21,1771147753968833,-16.9422582,-0.371527048,1.50764161,115.147972,49.1842766,-0.344075141,840,29.3110123,7.67188501,-1.39272666,-0.21374328,-1.60193123,4.47860434,0.533780038,3.06261489,1.1939613,0.174986797,3.04337862,2026-02-15T09:29:13.968Z
1129.057007,2059.01678,0.949999988,0.658848047,1.86150575,9.69406033,-0.11594034,2.35952449,1.07209944,7.12753025,45.2061317,1.0947996,21,1771147753974529,-20.132905,-0.229973561,1.33254445,116.111671,49.1842766,-0.344075136,840,29.2540607,7.69732857,-1.40237284,-0.2107394,-1.41672072,4.50477365,0.545466661,3.10100983,1.18337748,0.17455606,3.05756485,2026-02-15T09:29:13.974Z
1129.067017,2059.02218,0.949999988,0.849698424,2.34021568,9.12219524,-0.687805235,2.3591826,1.07707343,7.15609876,45.3668318,1.09808239,21,1771147753980224,-21.9477927,0.0916347274,1.59374485,117.075386,49.1842766,-0.344075131,840,29.1971092,7.72277164,-1.41201913,-0.210049946,-1.20651373,4.53098619,0.557153165,3.13872917,1.17279366,0.174125323,3.0721833,2026-02-15T09:29:13.980Z
1129.077026,2059.02757,0.949999988,0.551546633,-0.556380332,9.58339882,-0.226601526,2.35884118,1.08204742,7.18466727,45.5275319,1.10136518,21,1771147753985919,-20.8781505,0.0657808191,1.85085902,118.039093,49.1842766,-0.344075126,840,29.1401577,7.7482152,-1.42166531,-0.210836119,-0.992598203,4.55724201,0.568839788,3.18319743,1.16220984,0.173694587,3.08939076,2026-02-15T09:29:13.985Z
