T,D,PDOP,acc_x,acc_y,acc_z,acc_z_,altitude,amp_pitch,amp_roll,cadence,d_stroke,gpsTimeAccuracyNs,gpstimeUs,gyro_x,gyro_y,gyro_z,heading,latitude,longitude,motif_id,nSat,pic_acc,pic_down,pitch,roll,speed,speed_gps,speed_i,t_acc,t_down,yaw,time
1158.005859,2343.48625,1.57000005,0.487085164,0.835033417,10.0413218,0.231321603,5.08192492,1.0482266,9.3961863,59.2488467,0.790712796,23,1771147871677773,-6.10752778,-0.49142688,1.96846102,52.9579506,49.1843338,-0.3440738,987,15,7.99544716,-1.92651391,-0.452384337,-2.73457624,3.79302015,0.754113376,3.83542527,1.36681222,0.0909269181,2.46709485,2026-02-15T09:31:11.677Z
1158.015869,2343.4911,1.57000041,0.425525934,0.75151217,10.0545301,0.24452965,5.08069038,1.05357204,9.45183668,59.2964694,0.794782951,23,1771147871687267,-7.34047273,-0.55947025,2.03578289,53.9832077,49.1843338,-0.344073763,987,15,8.02491379,-1.95312917,-0.447135309,-2.66740783,3.81689724,0.764017582,3.85252168,1.35595873,0.0921556157,2.48709621,2026-02-15T09:31:11.687Z
1158.025879,2343.49594,1.57015443,0.357931048,0.801151454,10.0084457,0.198445171,5.07943296,1.05891747,9.50748707,59.3440921,0.798853105,23,1771147871696762,-7.89685173,-0.583731756,2.15307355,54.9255409,49.1843338,-0.344073728,987,15,8.05438137,-1.97974443,-0.441424994,-2.59129826,3.8408587,0.770991802,3.86747206,1.34510523,0.0933843133,2.50801949,2026-02-15T09:31:11.696Z
1158.035889,2343.50082,1.57120788,0.350081205,0.690983593,10.064806,0.254805356,5.07803392,1.06426291,9.56313745,59.3917147,0.802923259,23,1771147871706309,-7.78777807,-0.553326195,2.15560697,55.3878403,49.1843338,-0.3440737,987,15,8.083848,-2.00635958,-0.435745103,-2.51295109,3.86503769,0.760860145,3.8800793,1.33425174,0.0946130109,2.52954186,2026-02-15T09:31:11.706Z
1158.045898,2343.5057,1.57311928,0.366512388,0.646293938,10.0632296,0.253229529,5.07650471,1.06960834,9.61878784,59.4393374,0.806993413,23,1771147871715865,-7.02155167,-0.621464944,2.12743703,55.3878403,49.1843338,-0.34407368,987,15,8.11331558,-2.03297496,-0.429877041,-2.43897484,3.88932603,0.734367907,3.89251914,1.32339824,0.0958417085,2.55093625,2026-02-15T09:31:11.715Z
1158.055908,2343.51055,1.57501805,0.377405256,0.63693589,10.0551071,0.245107114,5.0749855,1.07495377,9.67443822,59.4869601,0.811063568,23,1771147871725360,-6.0655057,-0.670071716,2.12986741,55.3878403,49.1843338,-0.34407366,987,15,8.14278221,-2.0595901,-0.423425421,-2.37360806,3.91353715,0.708049893,3.90566881,1.31254475,0.0970704061,2.57220202,2026-02-15T09:31:11.725Z
1158.065918,2343.51539,1.57691693,0.397052139,0.668656349,10.1490755,0.339074939,5.0734663,1.08029921,9.73008861,59.5345827,0.815133722,23,1771147871734854,-5.08660798,-0.687831273,2.10133941,55.3878403,49.1843338,-0.344073641,987,15,8.17224979,-2.08620548,-0.416642444,-2.31790665,3.93782984,0.681731939,3.91932075,1.30169125,0.0982991037,2.59333728,2026-02-15T09:31:11.734Z
1158.075928,2343.52024,1.5788157,0.433114141,0.802790105,10.1238508,0.313850343,5.07194757,1.08564464,9.78573899,59.5822054,0.819203876,23,1771147871744348,-4.46364229,-0.736486624,2.14228162,55.3878403,49.1843338,-0.344073621,987,15,8.20171642,-2.11282063,-0.409527565,-2.27020501,3.96220344,0.655413985,3.93378559,1.29083775,0.0995278013,2.61453488,2026-02-15T09:31:11.744Z
1158.085938,2343.52509,1.5807147,0.477411121,0.726909876,10.1295471,0.319546461,5.07042837,1.09099008,9.84138938,59.6298281,0.82327403,23,1771147871753842,-4.05130139,-0.715629517,2.21428804,55.3878403,49.1843338,-0.344073601,987,15,8.23118305,-2.13943577,-0.402274171,-2.22767382,3.98665721,0.629096031,3.94964639,1.27998426,0.100756499,2.63629683,2026-02-15T09:31:11.753Z
1158.095947,2343.52994,1.58261347,0.493700713,0.515132427,10.1681232,0.358122557,5.06890917,1.09633551,9.89703976,59.6774507,0.827344185,23,1771147871763337,-3.25139436,-0.644214584,2.25510245,55.3878403,49.1843338,-0.344073581,987,15,8.26065063,-2.16605115,-0.395481932,-2.19119985,4.01119041,0.602778077,3.96718616,1.26913076,0.101985197,2.65862217,2026-02-15T09:31:11.763Z
1158.105835,2343.53479,1.58451223,0.417060077,0.308264226,10.1892414,0.379240543,5.06739044,1.10168095,9.95269015,59.7250734,0.831414339,23,1771147871772832,-2.58856961,-0.571707796,2.30795488,55.3878403,49.1843338,-0.344073561,987,15,8.29011726,-2.19266629,-0.389334453,-2.16167543,4.03580223,0.576460183,3.98558748,1.25827727,0.103213894,2.68169371,2026-02-15T09:31:11.772Z
1158.115845,2343.53963,1.58641112,0.323296845,0.386692405,10.1627598,0.352759689,5.06587124,1.10702638,10.0083405,59.772696,0.835484493,23,1771147871782325,-1.49339693,-0.500165671,2.27871016,55.3878403,49.1843338,-0.344073542,987,15,8.31958485,-2.21928167,-0.383979968,-2.14128022,4.06049189,0.550142229,4.00109184,1.24742377,0.104442592,2.70460481,2026-02-15T09:31:11.782Z
1158.125854,2343.54448,1.58830774,0.236413121,0.498235792,10.1993093,0.38930881,5.06435633,1.11237182,10.0639909,59.8203187,0.839554647,23,1771147871791821,-0.374228146,-0.447859936,2.31888871,55.3878136,49.1843338,-0.344073522,987,15,8.34905148,-2.24589682,-0.379244208,-2.13194578,4.08525864,0.523886204,4.01331551,1.23657028,0.105671289,2.72757018,2026-02-15T09:31:11.791Z
